event1,eid1,event2,eid2,signal,annotation,Doc name,Doc ID,sentence
falling,e52,blocked,e53,block,0,2010.01.12.haiti.earthquake.tml,2010.01.12.haiti.earthquake,"Many of our staff have tried to leave, but were unsuccessful because the walls from buildings and private residences are falling into the streets, so that it has pretty much blocked significantly most of the traffic. """
collapsed,e108,said,e107,hinder,0,2010.01.12.haiti.earthquake.tml,2010.01.12.haiti.earthquake,"A U.S. aviation source said the control tower at the Port-au-Prince international airport collapsed, possibly hindering efforts to fly relief supplies into the country."
lost,e42,held,e44,hold,0,2010.03.02.health.care.tml,2010.03.02.health.care,"Democrats lost their 60-vote, filibuster-proof Senate majority in January, when GOP Sen. Scott Brown won the Massachusetts Senate seat previously held by the late Sen. Ted Kennedy, a Democrat."
lost,e42,won,e43,hold,0,2010.03.02.health.care.tml,2010.03.02.health.care,"Democrats lost their 60-vote, filibuster-proof Senate majority in January, when GOP Sen. Scott Brown won the Massachusetts Senate seat previously held by the late Sen. Ted Kennedy, a Democrat."
held,e44,won,e43,hold,0,2010.03.02.health.care.tml,2010.03.02.health.care,"Democrats lost their 60-vote, filibuster-proof Senate majority in January, when GOP Sen. Scott Brown won the Massachusetts Senate seat previously held by the late Sen. Ted Kennedy, a Democrat."
dipped,e10,keeping,e8,keep,0,2010.01.07.winter.weather.tml,2010.01.07.winter.weather,"Meanwhile, the National Weather Service was keeping an eye on a dangerous mix of ice and snow expected in the Southeast, where temperatures have dipped between 10 to 35 degrees below normal for the past two weeks, said CNN meteorologist Jacqui Jeras."
dipped,e10,said,e11,keep,0,2010.01.07.winter.weather.tml,2010.01.07.winter.weather,"Meanwhile, the National Weather Service was keeping an eye on a dangerous mix of ice and snow expected in the Southeast, where temperatures have dipped between 10 to 35 degrees below normal for the past two weeks, said CNN meteorologist Jacqui Jeras."
keeping,e8,said,e11,keep,0,2010.01.07.winter.weather.tml,2010.01.07.winter.weather,"Meanwhile, the National Weather Service was keeping an eye on a dangerous mix of ice and snow expected in the Southeast, where temperatures have dipped between 10 to 35 degrees below normal for the past two weeks, said CNN meteorologist Jacqui Jeras."
said,e34,keep,e36,keep,0,2010.01.07.winter.weather.tml,2010.01.07.winter.weather,"But, he said football was helping keep people at home as University of Alabama fans cheered on their team in the National Championship Game against the University of Texas."
said,e34,cheered,e37,keep,0,2010.01.07.winter.weather.tml,2010.01.07.winter.weather,"But, he said football was helping keep people at home as University of Alabama fans cheered on their team in the National Championship Game against the University of Texas."
said,e34,helping,e35,keep,0,2010.01.07.winter.weather.tml,2010.01.07.winter.weather,"But, he said football was helping keep people at home as University of Alabama fans cheered on their team in the National Championship Game against the University of Texas."
keep,e36,cheered,e37,keep,0,2010.01.07.winter.weather.tml,2010.01.07.winter.weather,"But, he said football was helping keep people at home as University of Alabama fans cheered on their team in the National Championship Game against the University of Texas."
keep,e36,helping,e35,keep,0,2010.01.07.winter.weather.tml,2010.01.07.winter.weather,"But, he said football was helping keep people at home as University of Alabama fans cheered on their team in the National Championship Game against the University of Texas."
cheered,e37,helping,e35,keep,0,2010.01.07.winter.weather.tml,2010.01.07.winter.weather,"But, he said football was helping keep people at home as University of Alabama fans cheered on their team in the National Championship Game against the University of Texas."
tell,e14,denies,e10,deny,0,2010.01.01.iran.moussavi.tml,2010.01.01.iran.moussavi,"The Iranian government denies that any of the deaths were caused by official security forces, but the clashes -- depicted in sometimes grainy and shaky amateur videos that show a number of protesters with serious and possibly fatal injuries, including some with apparent gunshot wounds -- appear to tell a different story."
tell,e14,depicted,e12,deny,0,2010.01.01.iran.moussavi.tml,2010.01.01.iran.moussavi,"The Iranian government denies that any of the deaths were caused by official security forces, but the clashes -- depicted in sometimes grainy and shaky amateur videos that show a number of protesters with serious and possibly fatal injuries, including some with apparent gunshot wounds -- appear to tell a different story."
tell,e14,caused,e11,deny,0,2010.01.01.iran.moussavi.tml,2010.01.01.iran.moussavi,"The Iranian government denies that any of the deaths were caused by official security forces, but the clashes -- depicted in sometimes grainy and shaky amateur videos that show a number of protesters with serious and possibly fatal injuries, including some with apparent gunshot wounds -- appear to tell a different story."
denies,e10,depicted,e12,deny,0,2010.01.01.iran.moussavi.tml,2010.01.01.iran.moussavi,"The Iranian government denies that any of the deaths were caused by official security forces, but the clashes -- depicted in sometimes grainy and shaky amateur videos that show a number of protesters with serious and possibly fatal injuries, including some with apparent gunshot wounds -- appear to tell a different story."
denies,e10,caused,e11,deny,0,2010.01.01.iran.moussavi.tml,2010.01.01.iran.moussavi,"The Iranian government denies that any of the deaths were caused by official security forces, but the clashes -- depicted in sometimes grainy and shaky amateur videos that show a number of protesters with serious and possibly fatal injuries, including some with apparent gunshot wounds -- appear to tell a different story."
depicted,e12,caused,e11,deny,0,2010.01.01.iran.moussavi.tml,2010.01.01.iran.moussavi,"The Iranian government denies that any of the deaths were caused by official security forces, but the clashes -- depicted in sometimes grainy and shaky amateur videos that show a number of protesters with serious and possibly fatal injuries, including some with apparent gunshot wounds -- appear to tell a different story."
said,e38,stop,e35,stop,0,2010.01.01.iran.moussavi.tml,2010.01.01.iran.moussavi,"Yours truly and friends are still being told that'If you do n't issue announcements, the people will not take to the streets and will stop demonstrating, making the return of calm and stability possible throughout the country,' "" Moussavi said."""
said,e38,told,e32,stop,0,2010.01.01.iran.moussavi.tml,2010.01.01.iran.moussavi,"Yours truly and friends are still being told that'If you do n't issue announcements, the people will not take to the streets and will stop demonstrating, making the return of calm and stability possible throughout the country,' "" Moussavi said."""
said,e38,making,e37,stop,0,2010.01.01.iran.moussavi.tml,2010.01.01.iran.moussavi,"Yours truly and friends are still being told that'If you do n't issue announcements, the people will not take to the streets and will stop demonstrating, making the return of calm and stability possible throughout the country,' "" Moussavi said."""
stop,e35,told,e32,stop,0,2010.01.01.iran.moussavi.tml,2010.01.01.iran.moussavi,"Yours truly and friends are still being told that'If you do n't issue announcements, the people will not take to the streets and will stop demonstrating, making the return of calm and stability possible throughout the country,' "" Moussavi said."""
stop,e35,making,e37,stop,0,2010.01.01.iran.moussavi.tml,2010.01.01.iran.moussavi,"Yours truly and friends are still being told that'If you do n't issue announcements, the people will not take to the streets and will stop demonstrating, making the return of calm and stability possible throughout the country,' "" Moussavi said."""
told,e32,making,e37,stop,0,2010.01.01.iran.moussavi.tml,2010.01.01.iran.moussavi,"Yours truly and friends are still being told that'If you do n't issue announcements, the people will not take to the streets and will stop demonstrating, making the return of calm and stability possible throughout the country,' "" Moussavi said."""
held,e66,called,e67,hold,0,2010.01.12.turkey.israel.tml,2010.01.12.turkey.israel,"""During a joint news conference, held with Lebanese Prime Minister Saad Hariri, Erdogan called for the international community "" to warn Israel about its nuclear arsenal just like it did with Iran, "" ANA reported."
held,e66,reported,e70,hold,0,2010.01.12.turkey.israel.tml,2010.01.12.turkey.israel,"""During a joint news conference, held with Lebanese Prime Minister Saad Hariri, Erdogan called for the international community "" to warn Israel about its nuclear arsenal just like it did with Iran, "" ANA reported."
called,e67,reported,e70,hold,0,2010.01.12.turkey.israel.tml,2010.01.12.turkey.israel,"""During a joint news conference, held with Lebanese Prime Minister Saad Hariri, Erdogan called for the international community "" to warn Israel about its nuclear arsenal just like it did with Iran, "" ANA reported."
attending,e26,make,e25,prevent,0,2010.01.12.uk.islamist.group.ban.tml,2010.01.12.uk.islamist.group.ban,"The ban would prevent Al-Muhajiroun from having meetings or raising money, and it would make attending a meeting or being a member of the group a crime."
attending,e26,prevent,e23,prevent,2,2010.01.12.uk.islamist.group.ban.tml,2010.01.12.uk.islamist.group.ban,"The ban would prevent Al-Muhajiroun from having meetings or raising money, and it would make attending a meeting or being a member of the group a crime."
make,e25,prevent,e23,prevent,0,2010.01.12.uk.islamist.group.ban.tml,2010.01.12.uk.islamist.group.ban,"The ban would prevent Al-Muhajiroun from having meetings or raising money, and it would make attending a meeting or being a member of the group a crime."
told,e36,bans,e34,stop,0,2010.01.12.uk.islamist.group.ban.tml,2010.01.12.uk.islamist.group.ban,"We're not going to stop because the government bans an organization, "" he told CNN by phone."""
returns,e82,blocked,e86,block,0,2010.01.13.google.china.exit.tml,2010.01.13.google.china.exit,"The Google.cn filter, which returns censored search results, was created after the original form of the U.S. - based search engine was routinely slowed or blocked by China's Internet controls."
returns,e82,slowed,e85,block,0,2010.01.13.google.china.exit.tml,2010.01.13.google.china.exit,"The Google.cn filter, which returns censored search results, was created after the original form of the U.S. - based search engine was routinely slowed or blocked by China's Internet controls."
returns,e82,created,e83,block,0,2010.01.13.google.china.exit.tml,2010.01.13.google.china.exit,"The Google.cn filter, which returns censored search results, was created after the original form of the U.S. - based search engine was routinely slowed or blocked by China's Internet controls."
blocked,e86,slowed,e85,block,0,2010.01.13.google.china.exit.tml,2010.01.13.google.china.exit,"The Google.cn filter, which returns censored search results, was created after the original form of the U.S. - based search engine was routinely slowed or blocked by China's Internet controls."
blocked,e86,created,e83,block,0,2010.01.13.google.china.exit.tml,2010.01.13.google.china.exit,"The Google.cn filter, which returns censored search results, was created after the original form of the U.S. - based search engine was routinely slowed or blocked by China's Internet controls."
slowed,e85,created,e83,block,0,2010.01.13.google.china.exit.tml,2010.01.13.google.china.exit,"The Google.cn filter, which returns censored search results, was created after the original form of the U.S. - based search engine was routinely slowed or blocked by China's Internet controls."
told,e17,remain,e16,save,0,2010.03.22.africa.elephants.ivory.trade.tml,2010.03.22.africa.elephants.ivory.trade,"It's welcome news, but my anxieties remain about the increased levels of poaching in Africa, "" Save the Elephant's Dr. Ian Douglas-Hamilton told CNN."
fueled,e30,expecting,e29,stop,0,2010.01.18.sherlock.holmes.tourism.london.tml,2010.01.18.sherlock.holmes.tourism.london,"About 70,000 visitors a year stop by the Victorian lodging house, though officials are expecting a spike of interest fueled by the new movie."
hold,e38,said,e39,hold,0,2010.03.23.how.get.headhunted.tml,2010.03.23.how.get.headhunted,"Most sectors have industry associations that hold conferences, "" said Felix."""
